,permno,bm,pe_exi,npm,cfm,roa,roe,GProf,totdebt_invcap,capital_ratio,debt_ebitda,lt_debt,cash_debt,fcf_ocf,de_ratio,at_turn,staff_sale,ptb
3034,91075,0.975,8.206,0.154,0.21,0.196,0.179,0.201,0.544,0.499,2.25,0.601,0.196,-0.91,1.653,0.565,0.0,1.302
3035,91083,0.829,66.733,0.042,0.081,0.011,0.019,0.031,0.416,0.386,5.272,0.058,0.025,0.993,10.797,0.04,0.38,1.244
3036,15509,1.291,20.488,0.145,0.179,0.021,0.07,0.046,0.109,0.029,0.64,0.004,0.01,0.788,7.504,0.048,0.44,0.872
3037,14536,0.109,-3725.5,-15.686034353749585,-15.471987031916925,-0.366,-0.392,0.0,0.0,0.0,0.0,0.0,-6.794,-6559227240.681702,0.045,0.8067880899309279,0.18635358057792428,10.026
3038,91408,0.912,7.524,0.312,0.331,0.032,0.121,0.045,0.651,0.077,3.107,0.013,0.012,0.976,6.336,0.043,0.277,1.155
3039,91073,0.394,6.536,0.049,0.089,0.232,0.335,0.27,0.352,0.564,1.177,0.547,0.255,0.701,2.363,1.848,0.0,2.047
3040,91063,0.219,8.702,0.145,0.539,0.182,0.496,0.314,0.764,0.776,2.983,0.667,0.126,0.939,5.2,0.585,0.0,3.793
3041,91192,0.101,-123.0,-0.056,-0.031,0.02,-0.167,0.583,0.347,0.379,13.968,0.534,-0.386,-6559227240.681702,1.142,1.349,0.0,9.252
3042,84185,2.105,2.927,0.029,0.05,0.117,0.164,0.624,0.65,0.0,1.908,0.0,0.058,0.407,1.843,1.942,0.0,0.456
3043,13648,2.051,-4.891,-5.589,-5.465,-0.749,-0.879,-0.886,0.0,0.0,0.0,0.0,-2.953,-6559227240.681702,0.254,0.148,0.0,0.618
3044,91041,0.317,-30.713,-0.023,0.033,0.069,-0.106,0.3,0.557,0.61,4.695,0.427,0.062,0.467,3.667,1.119,0.0,3.228
3045,91515,0.202,-0.391,-0.25,-0.203,-0.308,-1.123,-0.235,1.625,1.118,-1.595,0.375,-0.235,-6559227240.681702,-25.297,1.684,0.0,1.733
3046,92294,0.254,-4.609,-7.048,-6.11,-0.304,-0.696,0.007,0.422,0.377,-1.135,0.67,-0.456,-6559227240.681702,0.903,0.056,0.0,3.742
3047,91099,0.9592069949524183,-3.613,-0.132,0.042,0.135,-0.618,0.139,1.055,1.046,5.493,0.731,0.128,-2.955,-30.839,0.588,0.0,3.857438108783013
3048,91080,0.486,12.576,0.046,0.22,0.237,0.191,0.379,0.881,0.877,3.196,0.794,0.129,-0.516,8.998,0.789,0.0,2.154
3049,13931,0.224,28.958,0.103,0.119,0.188,0.186,0.584,0.0,0.0,0.0,0.0,0.394,0.968,0.389,1.276,0.0,4.594
3050,91068,0.108,28.631,0.116,0.143,0.375,0.251,0.459,0.46958902333008073,0.31711893395296437,9543569931394.81,0.2928816810750603,-0.11520414454104635,0.62,0.25,1.662,0.22,6.156
3051,91096,0.9592069949524183,-2.324,-0.15,-0.064,0.077,-0.42010901806070894,0.199,1.683,1.686,14.079,0.781,-0.005,-6559227240.681702,-3.146,0.425,0.0,3.857438108783013
3052,91088,0.015,-7.715,-7.007,-6.559,-0.472,-1.689,0.006,0.105,0.105,-0.165,0.364,-2.28,-6559227240.681702,0.322,0.085,0.0,37.023
3053,15273,0.343,-48.868,-0.178,-0.177,0.183,-0.093,0.651,0.115,0.002,0.681,0.004,-0.086,-6559227240.681702,0.499,2.204,0.0,4.023
3054,89003,0.39,23.488,0.115,0.217,0.135,0.101,0.192,0.436,0.439,2.621,0.648,0.149,0.877,1.205,0.446,0.0,2.663
3055,91603,0.41,5.876,0.103,0.134,0.047,0.238,0.042,0.263,0.265,1.6,0.067,0.099,0.859,5.35,0.292,0.0,2.53
3056,13976,0.433,-740.91,-0.011,0.054,0.074,-0.028,0.259,0.992,0.176,6.821,0.131,-0.074,-6559227240.681702,1.629,0.993,0.0,2.125
3057,91176,0.909,23.929,0.162,0.203,0.016,0.046,0.035,0.209,0.2,2.408,0.044,0.01,0.909,5.651,0.042,0.329,1.097
3058,91095,0.983,-1.857,-0.264,-0.241,0.057,-0.389,0.358,0.0,0.0,0.0,0.0,0.6,0.832,0.336,1.103,0.0,0.911
3059,93175,0.684,-22.147,-0.023,0.038,0.075,-0.055,0.193,0.476,0.499,4.756,0.609,0.049,0.095,1.635,1.003,0.0,1.357
3060,91154,0.9592069949524183,-0.547,-4.305,-3.372,-0.564,-0.42010901806070894,-0.7,12.3,12.163,-2.271,0.644,-0.367,-6559227240.681702,-1.693,0.142,0.0,3.857438108783013
3061,91186,0.302,7.957,0.478,0.597,-0.128,0.385,0.26,0.0,0.0,0.0,0.0,-7.491,-6559227240.681702,0.362,0.451,0.0,2.731
3062,15776,0.071,-8.703,-15.686034353749585,-15.471987031916925,-0.623,-0.679,0.0,0.007,0.0,-0.012,0.0,-1.589,-6559227240.681702,0.208,0.8067880899309279,0.18635358057792428,15.069
3063,91428,0.393,-3725.5,-7.254,-6.312,-0.542,-4.996,-0.556,1.216,0.971,-0.384,0.171,-0.582,-6559227240.681702,193.608,0.149,0.0,2.926
3064,91234,0.416,45.263,0.027,0.076,0.148,0.061,0.33,0.575,0.569,2.594,0.56,0.102,0.573,2.353,0.914,0.0,2.699
3065,91627,0.04,-0.803,-3.282,-0.645,-0.079,-7.541,0.034,0.958,0.778,-7.991,0.628,-0.028,-6559227240.681702,5.574,0.075,0.0,16.111
3066,91201,4.403,-0.96,-0.401,-0.318,-0.112,-0.235,0.034,0.201,0.133,-1.476,0.412,-0.463,-6559227240.681702,0.371,0.43,0.0,0.289
3067,91348,1.027,-2.131,-1.077,-0.983,0.045,-1.14,0.418,0.441,0.329,5.384,0.37,-0.118,-1.141,1.324,0.544,0.0,0.212
3068,91237,0.302,38.267,0.036,0.098,0.192,0.091,0.839,0.365,0.323,1.538,0.491,0.279,0.871,0.97,1.239,0.0,3.24
3069,91215,0.854,17.826,0.015,0.046,0.084,0.062,0.119,0.394,0.393,3.038,0.379,0.187,0.159,1.706,1.694,0.0,1.033
3070,91359,1.117,-3.176,-0.195,-0.147,-0.031,-0.32,0.368,0.124,0.084,-3.201,0.155,-0.316,-6559227240.681702,0.589,0.936,0.0,1.038
3071,91395,0.234,1.686,0.02,-0.132,-1.16,-0.42010901806070894,-0.888,1.106,-1.61,-0.31,0.092,-1.8,-6559227240.681702,-6.709,0.218,0.0,3.608
3072,91366,0.418,296.327,0.089,0.209,0.181,0.091,0.37,0.303,0.303,1.548,0.746,0.213,-0.245,0.583,0.625,0.0,2.589
3073,91350,1.424,15.417,0.152,0.196,0.261,0.036,0.603,0.004,0.0,0.011,0.0,0.55,0.895,0.422,0.9,0.0,0.743
3074,93222,0.913,-10.082883013420306,0.072,0.083,0.007,0.042,0.007,0.181,0.142,3.154,0.018,0.033,1.0,9.288,0.064,0.0,1.099
3075,14174,0.605,-3725.5,-0.013,0.104,0.077,-0.003,0.068,0.465,0.474,5.692,0.687,-0.012,0.916,1.311,0.116,0.0,1.34
3076,13532,0.809,5.782,0.234,0.263,0.024,0.192,0.049,0.738,0.24,4.424,0.034,-0.049,-6559227240.681702,9.357,0.055,0.44,1.159
